link,headline,date,location,summary,body
http://en.kremlin.ru/events/president/news/68700,BRICS+ meeting,2022-06-24T17:30:00Z,Moscow Region,"Vladimir Putin attended a BRICS+ meeting involving the leaders of several invited states, held via videoconference.","The meeting's topic is Foster Partnership for Global Development in a New Era Towards Joint Implementation of the 2030 Agenda for Sustainable Development. Taking part in the BRICS+ meeting were President of the People's Republic of China Xi Jinping, Prime Minister of India Narendra Modi, President of the Republic of South Africa Cyril Ramaphosa, Vice President of Brazil Hamilton Mourao, President of Algeria Abdelmadjid Tebboune, President of Argentina Alberto Fernandez, President of Egypt Abdel Fattah el-Sisi, President of Indonesia Joko Widodo, President of Iran Sayyid Ebrahim Raisi, President of Kazakhstan Kassym-Jomart Tokayev, Prime Minister of Cambodia Hun Sen, Prime Minister of Malaysia Ismail Sabri Yaakob, President of Senegal Macky Sall, Prime Minister of Thailand Prayut Chan-o-cha, President of Uzbekistan Shavkat Mirziyoyev, Prime Minister of Fiji Voreqe Bainimarama, and Prime Minister of Ethiopia Abiy Ahmed. * * * Speech by the President of the Russian Federation at the BRICS+ meeting President of Russia Vladimir Putin: Colleagues, friends, First, I would like to welcome the guests of the BRICS Summit and express gratitude to President Xi Jinping for organising this meeting in such a broad format. We believe that it is very useful to hold BRICS+ meetings attended by the leaders of states that are interested in developing mutually beneficial cooperation with our association based on a similarity of views on current global political and economic issues and ways of dealing with them. It is notable that the leaders of the countries who are attending our meeting today stand for developing a truly democratic multipolar world order based on the principles of equality, justice and mutual respect where global trade and finance are free from obstacles and politically driven restrictions. I would like to point out that the importance of interaction with our partners who share our values has increased dramatically amid the current imbalances in international relations. This situation has been developing for a long time and is the inevitable result of a policy of those who advocate a so-called liberal world order towards eroding international law and undermining multilateral institutions. Seeking to preserve their domination, some countries have been working consistently to replace the existing global architecture that relies on the central role of the United Nations with a rules-based order. But it is not clear who invented these rules and what they are. Attempts to hinder the development of the states that are unwilling to live according to somebody's rules and the reckless use of illegal sanctions instruments, compounded by the consequences of the coronavirus pandemic, have aggravated the downturn in the global economy. Global trade is deeply mired in disputes, the settlement of which is deviating increasingly further from WTO norms and principles. Our colleagues mentioned the WTO today, but we know well what turn the situation within that organisation has taken over the past years. The international monetary system is being destabilised, and industrial, logistics and investment chains are being broken. Rapid price increases for food, energy and commodities is having a serious socioeconomic effect, especially on the development of countries in Asia, Africa, Latin America and the Middle East. Colleagues and friends, I would like to stress once again: this is not the result of the past few months and by no means a consequence of Russia's special military operation to protect Donbass. Once again, this jump in inflation did not happen yesterday. It has been happening over the past several years as a result of the long-term, and I want to stress this, irresponsible macroeconomic policy of the G7 countries, uncontrolled money creation and accumulated unsecured debts. This process was accelerated by the pandemic when both the supply and demand for goods and services drastically dropped on a global scale. The food market has been disrupted most severely. I said this at the recent St Petersburg International Economic Forum, and I want to say it again: they printed money, distributed it in their wealthy countries and, like a vacuum cleaner, started scooping up all the food from the global market. Only recently, the United States was a food exporter – a net exporter – but now, I think, their imports are about US$17 billion more than their exports. This is a dismal indicator for food markets around the world. Meanwhile, the soaring cost of essential agricultural commodities such as grain has hit the developing countries and markets the hardest as this is where bread and flour are vital for the survival of most of the population. I think it was French Queen Marie Antoinette who, looking over a crowd of starving citizens from her palace, reportedly said with indifference: ""If they have no bread let them eat cake."" This is the same cynicism that certain Western countries are now showing by destabilising the global production of agricultural products and dealing with this matter by restricting, for example, supplies of Russian and Belarusian fertilisers and impeding exports of Russian grain to world markets. Speaking of which, we are expecting a good harvest. God willing, everything will be fine and, if we supply 37 million tonnes to the world market this year, we would most likely be able to supply 50 million tonnes of grain. However, it is becoming more difficult to insure the transport that carries grain, bulk carriers, transactions under trade contracts, and so on. At the same time, they are artificially fuelling hysterics over, say, the suspension of Ukrainian grain shipments via Black Sea ports. Meanwhile, according to American, and our, estimates, this is about 5 or 6 million tonnes of wheat plus 7 million tonnes of corn – this is something, but it does not resolve the problems in the world grain market. But that's not even the point. I have said publicly many times, and want to emphasise again, that Russia is not preventing the export of Ukraine's grain from its territory; we are ready to ensure safe passage of grain ships via international waters if, of course, the Ukrainian military demines the ports and nearby waters. In addition, we have a relevant understanding with representatives of the UN Secretariat. As before, we lack one thing – a constructive approach from the current Kiev authorities. I would like to emphasise that Russia is a major and responsible participant in the world food market. We are certainly willing to continue fulfilling our contractual obligations on the supply of agricultural products, fertiliser, energy and other critical commodities in good faith. I would like to note that Russia continues rendering humanitarian aid to many countries that need it. Russia recently delivered foodstuffs to Lebanon, Tajikistan, Kyrgyzstan, Cuba, Sudan and others, without cost. Colleagues, I would like to note again that we have every opportunity to build up practical cooperation between the BRICS countries and its partners, the countries represented here. We feel your mutual interest in maintaining close business contacts. It is equally important for BRICS to expand cooperation with regional associations like ASEAN, the African Union, the Association of Caribbean States, the Gulf Cooperation Council and the Indian Ocean Rim Association. Of course, serious potential is opening up for cooperation between our states in the context of working in the integration processes between the Eurasian Economic Union and China's huge One Belt One Road infrastructure and trade project. In general, we are convinced that many serious problems on the global agenda can and must be resolved only by pooling efforts, and this summit is an example of constructive work in this respect. Thank you for your attention."
http://en.kremlin.ru/events/president/news/68699,"On June 25, Vladimir Putin will meet with President of Belarus Alexander Lukashenko",2022-06-24T12:00:00Z,NA,,"On June 25, Vladimir Putin will meet with President of the Republic of Belarus Alexander Lukashenko in St Petersburg. In continuation of the regular dialogue held at the top level, the two leaders will discuss the current aspects of further developing bilateral relations of strategic partnership and alliance and promoting integration processes."
http://en.kremlin.ru/events/president/news/68697,Greetings to participants in 1st Congress of Russian National Theatres,2022-06-24T09:00:00Z,NA,"Vladimir Putin sent greetings to participants in the 1st Congress of Russian National Theatres, now underway in Yakutsk.","The message reads, in part:""It is a pleasure to note that the Association of National Theatres was established in January 2022, the Year of the Cultural Heritage of the Peoplesof Russia. This new creative organisation aims to address important tasks, such as uniting the national theatre community around priorities and goals, as well as helping implement outstanding initiatives and educational projects by national theatres. Consequently, it is important that your congress, which brings together representatives of the art of drama from many Russian cities, has become the first large-scale, landmark event under the auspices of this Association. I am confident that during open panels and roundtable discussions you will be able to discuss topical professional issues that concern you, to exchange experience, to set guidelines for the future and, most importantly, to suggest effective measures for preserving the magnificent traditions of dramatic art, ensuring the successful development of regional theatres, and supporting young playwrights, directors and actors."""
http://en.kremlin.ru/events/president/news/68696,BRICS Summit,2022-06-23T16:40:00Z,Moscow Region,"Vladimir Putin took part in the 14th BRICS Summit, held via videoconference and chaired by China.","The meeting's topic is Foster High-Quality BRICS Partnership, Usher in a New Era for Global Development. President of Brazil Jair Bolsonaro, President of the People's Republic of China Xi Jinping, Prime Minister of India Narendra Modi, and President of the Republic of South Africa Cyril Ramaphosa are also taking part in the meeting. The Beijing Declaration of the 14th BRICS Summit formalises the key agreements of the meeting. * * * Speech by the President of the Russian Federation at the BRICS Summit President of Russia Vladimir Putin: President Xi Jinping, President Ramaphosa, President Bolsonaro, Prime Minister Modi, ladies and gentlemen, To begin with, I would like to join the previous speakers in thanking President of the People's Republic of China Xi Jinping and all our Chinese friends for their proactive efforts this year to promote our strategic partnership within BRICS. The countries that form this group have been seeking to step up their cooperation on all global and regional matters. The BRICS format has been consistently increasing its prestige and international influence. This is an objective process, since the five BRICS countries, as we all know, have immense political, economic, scientific, technical and human potential. We have everything we need to work together and achieve results for ensuring global stability and security, sustained growth and prosperity, and better well-being for our people. I believe that the topic of today's meeting, Foster High-Quality BRICS Partnership, Usher in a New Era for Global Development, is very relevant. Considering the complexity of the challenges and threats the international community is facing, and the fact that they transcend borders, we need to come up with collective solutions. BRICS can make a meaningful contribution to these efforts. We have repeatedly said that challenges like conflict settlement, the fight against terrorism and organised crime, including the criminal use of new technologies, climate change, and the spread of dangerous infections, can only be addressed through joint efforts. And, of course, it is only on the basis of honest and mutually beneficial cooperation that we can look for ways out of the critical situation that has emerged in the world economy because of the ill-conceived and selfish actions of certain states, which, by using financial mechanisms, are actually shifting their own macroeconomic policy mistakes onto the rest of the world. We are confident that today, as never before, the world needs the BRICS countries' leadership in defining a unifying and positive course for forming a truly multipolar system of interstate relations based on the universal norms of international law and the key principles of the UN Charter. In this context, we can count on support from many states in Asia, Africa and Latin America, which are seeking to pursue an independent policy. I am sure that by tradition the present BRICS Summit will be substantive and effective, and that we will manage to hold a frank and detailed exchange of views on all the most important global and regional issues and various aspects of strategic partnership, including in the extended dialogue format of BRICS+. Let me stress: Russia is ready to continue promoting close and versatile interaction with all BRICS partners and contributing to the group's greater role in international affairs. Thank you for your attention. <…>"
http://en.kremlin.ru/events/president/news/68694,"On June 23, Vladimir Putin will take part in 14th BRICS Summit",2022-06-22T16:50:00Z,NA,,"China will chair the summit via videoconference. The leaders of Brazil, Russia, India, China and South Africa will discuss the status of diverse political, economic, cultural and humanitarian cooperation between the five countries and their prospects. There are also plans to review current international and regional issues. The summit's final Declaration will formalise key agreements. On June 24, Vladimir Putin will also speak at a'BRICS Plus' session involving the leaders of several invited states."
http://en.kremlin.ru/events/president/news/68689,Greetings to BRICS Business Forum participants,2022-06-22T14:30:00Z,NA,,"President of Russia Vladimir Putin: President Xi Jinping, Friends, It is my pleasure to welcome representatives of governments and business communities, experts and industry professionals of the BRICS countries who have gathered at the traditional Business Forum. The Forum indeed plays a large practical role in promoting mutual trade and investment, strengthening cooperation ties and enhancing direct dialogue between business communities, not only within our Association, but also in a broader, global dimension. After all, the participants in the BRICS Business Forum represent the interests of a significant and the most dynamically developing part of the international economic community. In this regard, I would like to recall that our countries are home to more than 3 billion people, and together account for about a quarter of the global GDP, 20 per cent of trade and roughly 25 per cent of direct investments, while the total international reserves of the BRICS countries(as of the beginning of 2022) amount to about 35 per cent of world reserves. Hence the high relevance, in our opinion, of the theme of this Forum– Foster High-quality BRICS Partnership, Usher in a New Era for Global Development. It is also important that the agenda of the Forum is packed with truly crucial issues, such as ensuring sustainable growth of the global economy, preserving its openness, increasing cooperation in the field of digital economy, green growth, industry modernization, and building new transport and logistics chains. Russia supports the draft Beijing Initiative to be adopted following the Forum, which reaffirms determination of BRICS business circles to continue close joint work in all the areas mentioned. Entrepreneurs of our countries are forced to develop their business in a challenging environment when the Western partners neglect the basic principles of market economy, free trade, and inviolability of private property. They follow, in fact, an irresponsible macroeconomic course, including the launch of the""printing press""– uncontrolled emission and accumulation of unsecured debts. At the same time more and more politically motivated sanctions are continuously introduced, mechanisms of exerting pressure on competitors are further strengthened. There is intentional destruction of cooperation ties; transport and logistics chains are destroyed. And all this is contrary to common sense and basic economic logic, it undermines business interests on a global scale, negatively affecting the wellbeing of people, in effect, of all countries. As a result, the problems in the world economy become recurrent. What we see is an economic slowdown, growing unemployment, shortages in raw materials and components. Problems with ensuring global food security are getting worse; prices for grain crops and other basic agricultural products are being inflated. It is important that, despite all the problems and difficulties, BRICS business circles have been consistently enhancing mutually beneficial ties in the areas of trade, finance, and investment. For example, in the first three months of this year, trade between the Russian Federation and the BRICS countries increased by 38 per cent– and reached USD 45 billion. Contacts between Russian business circles and the business community of the BRICS countries have intensified. For example, negotiations are underway to open Indian chain stores in Russia, increase the share of Chinese cars, equipment, and hardware on our market. ­­­ In its turn, Russia's presence in the BRICS countries is growing.­­ There has been a noticeable increase in the exports of Russian oil to China and India. ­ Agricultural cooperation is developing dynamically. Russia exports considerable amounts of fertilizers to the BRICS states. Russian IT companies are expanding their activities in India and South Africa, and our satellites enable TV broadcasting for as many as 40 million residents of Brazil.­­­ Together with BRICS partners, we are developing reliable alternative mechanisms for international settlements. The Russian Financial Messaging System is open for connection with the banks of the BRICS countries. The Russian MIR payment system is expanding its presence. ­­We are exploring the possibility of creating an international reserve currency based on the basket of BRICS currencies.­ The Russian business community, in coordination with the business communities of the BRICS states, takes prompt steps to develop the transport infrastructure. Logistics routes are readjusted, new production chains are created. I would like to stress that Russia's strategy has not changed: while strengthening our economic, technological and scientific potential, we are ready to work openly with all bona fide partners based on the principles of mutual respect for each other's interests, the primacy of international law, and equality for all nations and peoples. During my address at the recent St Petersburg International Economic Forum, I have already spoken in detail about our plans for further economic development and the creation of comfortable conditions for business in general, including foreign business. It is significant that representatives of foreign companies and entrepreneurs who came to St Petersburg showed their willingness to continue working on the Russian market and adapt to new conditions. And we will certainly provide all the necessary assistance to them. In general, I would like to note that Russia is taking comprehensive measures aimed at mitigating the negative impact of sanctions and strengthening our trade and investment relations with all the states concerned. Our macroeconomic policy shows its effectiveness in practice. We were able to protect the Russian financial system and begin to stabilize the situation in the industry by providing targeted social support to citizens. The Russian state, first of all, focuses on stimulating the private initiative. We strive to expand entrepreneurial freedoms by reducing the administrative burden, launching new easy-term lending programs, and introducing tax and customs exemptions. We are actively engaged in redirecting our trade flows and foreign economic contacts to reliable international partners, first of all, the BRICS countries. Taking the opportunity, I am pleased to invite representatives of your states to the Eastern Economic Forum, which will be held in Vladivostok in early September, where many issues relevant to the BRICS business community will also be discussed. In conclusion, I would like to express my confidence that the work of the Business Forum of our Association will continue to focus on expanding trade, business, investment and production ties of the BRICS countries. Certainly, I would like to thank the President of the People's Republic of China, Mr. Xi Jinping, and all Chinese friends for organizing this Forum, and I wish its participants success and all the best. Thank you."
http://en.kremlin.ru/events/president/news/68692,Meeting with permanent members of Security Council,2022-06-22T13:45:00Z,"The Kremlin, Moscow","Vladimir Putin held a briefing session with permanent members of the Security Council, via videoconference.","The participants discussed preparations for the nationwide voting day. Opening the meeting, the President noted that this major domestic political event should be held at an appropriate level and the necessary security must be ensured. Interior Minister Vladimir Kolokoltsev delivered a report on the subject. Taking part in the meeting were Prime Minister Mikhail Mishustin, Federation Council Speaker Valentina Matviyenko, State Duma Speaker Vyacheslav Volodin, Deputy Chairman of the Security Council Dmitry Medvedev, Chief of Staff of the Presidential Executive Office Anton Vaino, Security Council Secretary Nikolai Patrushev, Defence Minister Sergei Shoigu, Federal Security Service Director Alexander Bortnikov, Foreign Intelligence Service Director Sergei Naryshkin, and Special Presidential Representative for Environmental Protection, Ecology and Transport Sergei Ivanov."
http://en.kremlin.ru/events/president/news/68691,Wreath-laying at Tomb of the Unknown Soldier,2022-06-22T12:05:00Z,"Alexander Garden, Moscow","On the 81st anniversary of the beginning of the Great Patriotic War, the President honoured the memory of those who perished in battles against Nazi invaders by laying a wreath at the Tomb of the Unknown Soldier at the Kremlin Wall.","On the Day of Memory and Sorrow, veterans of the Great Patriotic War, the Russian Armed Forces and combat operations, participants in the special military operation, personnel of the Moscow Garrison and graduates of military schools participated in a memorial ceremony honouring defenders of the Fatherland. Defence Minister Sergei Shoigu also laid flowers at the Eternal Flame. The event continued with a guard of honour company and a brass band marching past the national memorial of military glory. In addition, the President laid flowers at the obelisks of Hero Cities in the Alexander Garden: Leningrad, Kiev, Minsk, Stalingrad, Sevastopol, Odessa, Kerch, Novorossiisk, the Brest Fortress, Tula, Murmansk and Smolensk. He also laid flowers at a memorial honouring Cities of Military Glory."
http://en.kremlin.ru/events/president/news/68687,Meeting of State Council Presidium,2022-06-21T17:15:00Z,"The Kremlin, Moscow",Vladimir Putin chaired a videoconference meeting of the State Council Presidium on the Strategy for Developing the Construction Industry and Housing and Utilities until 2030 with a forecast to 2035.,"President Vladimir Putin: Colleagues, good afternoon. As we agreed, today we will discuss the development of the construction industry as well as the housing and utilities sector. These areas are essential for economic growth and for improving the quality of people's lives. I would like to point out that our construction industry has enormous potential as a driver for the development of the regions and for Russia as a whole. We must fully realise this. To use this potential, we need to continue to clear bureaucratic barriers from all stages of construction and from the operations, introduce effective financial and investment tools, and expand the space for business initiative. And of course, like other areas in our life, we need to develop the construction, housing and utilities sector on a fundamentally new technological basis. The set of objectives and the approaches to implementing them have been outlined in the presented draft Strategy for Developing the Construction Industry and Housing and Utilities until 2030. It also defines some measures with a forecast until 2035. I would say that the Housing and Urban Environment national project should be extended to 2030 in light of the approaches set out in the strategy document. One of the key basic areas of our work is to make housing more affordable. For every family, a flat or a house is not just a material possession but also a solid foundation for having and bringing up children, for a happy and prosperous life. It is not without reason that our ancestors used to say:""He who has his own home is happy."" According to surveys, more than 65 percent of Russians would like to improve their living conditions. And as you know, we pay constant attention to this issue. For example, last year, in the difficult circumstances of the pandemic, our construction workers worked quickly and efficiently without exaggeration; more than 92 million square metres of housing was completed– I think 92.6 million. Over 4 million families moved into new flats and houses. In this regard, I would like to thank all the workers in the construction sector, which amounts to hundreds of thousands, even millions of professionals in various fields. This breakthrough in increasing the rate at which we complete new housing was possible because of preferential mortgage lending programmes, among other things. However, we all know that in April three times fewer mortgage loans were issued than in the same period last year. We talked about this at the forum in St Petersburg. The average market rate on home loans is now over 14 percent. However, my colleagues and I have discussed this, and the Government is well aware of it; this may not even be just about rates. I can say that we are lowering the rate, as I said at the forum in St Petersburg, but again, analysts believe that this is not the only issue. The thing is, the majority of people who were going to improve their housing conditions now, in these conditions– please excuse my tone– have not done so. However, this is not important, we will not be talking about how diverse the reasons are, but still, according to analyst's estimates, at such high interest rates mortgages become difficult for most of our citizens, while it is the availability of such loans that ensures long-term stable demand for housing in new buildings. At the recent economic forum in St Petersburg I asked the Government to consider lowering the preferential interest rates on mortgages from 9 to 7 percent, as you know. I am asking the Government, together with the Bank of Russia, our banking community as a whole, and the construction industry, to implement this measure as efficiently and quickly as possible. In general, we need to ensure that the volume of housing completed this year is no less than last year, and that the increase in the mortgage portfolio is no less than 2.5 trillion rubles. It is clear that not everyone can buy a flat or a house, so the regions need to increase the construction of flat rentals with support from the Government, and moreover, provide for the possibility of its subsequent purchase with preferential mortgage support or with instalments. In order to implement this proposal, it is necessary to adopt legislative bills. It is necessary to carry out this work as quickly as possible this year and make the procedure of providing land plots for rental housing as easy as possible, preferably on special terms, and to provide for a mechanism for the effective market financing of such projects. I want to ask the speakers today to focus on the work to relocate residents from dilapidated housing. This problem concerns and directly affects many of our citizens who have to live in unacceptable conditions, let's be honest. We have everything we need to increase the rate of relocating people from dilapidated buildings and to renew the country's residential housing. We need to set ambitious goals while taking into account the budget capacities and the resources of the construction sector. I know that our builders are ready to work even harder both on the construction of residential housing and on other major complex projects in order to promptly create a comfortable, contemporary living environment in our cities and villages. Again, it is necessary to lift any arbitrary barriers in this area. The documents related to socioeconomic and territorial planning, as well as road and urban development are often still not synchronised, unfortunately. All this not only extends the timeframe needed for construction, but also makes decision-making more difficult and leads to the uneven development of territories because construction is often carried out without regard to future plans. As a result, the urban space is reduced, the general cityscape and unique features of cities and villages are ignored, while the load on the infrastructure increases. The long-term consequences of this are not researched, but it often happens that people purchase a flat and then have to spend hours commuting to work or taking their children to a school at the other end of the city or cannot enrol kids in a kindergarten. They buy a nice flat but immediately face other problems. So, of course, it is necessary to try to prevent these things. I want to ask the regional governors to report in detail on the work done locally in their regions, the streamlining of the urban development process and what hinders them from coordinating it with the territorial development plans. It is crucial that you resolve these problems. Then the money allocated through our infrastructure budgetary loan programme will be spent more efficiently. These are large amounts of money, and they need to be spent rationally. The obstacles I have mentioned have been discussed many times, and it is good that there are real, notable changes for the better. In particular, several excessive permit requirements have been eliminated, useless restrictions lifted, and the number of land plots allocated for construction has increased significantly. However, it can still take up to two years to make a decision on an urban development project. We need, especially now, to value our time so that the funds from both the state and the construction industry are used more promptly, so our citizens can see tangible results such as improved public spaces and new housing. As soon as next year, we need to create a digital register of clear, comprehensive requirements for the construction sector, and ensure maximum transparency here. Another specific goal is to gradually, in eighteen to twenty-four months, complete the construction of previously frozen projects. See, we always talk about this– about frozen construction projects. Finally, we need to organise this in an appropriate way, to provide additional funding for these purposes, if necessary. After all, we have always managed to find solutions, even in the most difficult conditions, that we do not need to launch new projects as much as we need to complete the existing ones. Of course, the situation with unfinished projects needs to be addressed because this is""buried"" money that has not yielded results. Construction sites that have been frozen for years create inconvenience and problems for people and degrade the appearance of cities and towns. Further, certainly the state of affairs in the construction sector has become more complicated due to the sanctions. But together we should look for and find opportunities to maintain the pace of development in this key industry, including by supporting domestic building materials manufacturers. Our objective is to increase their share in the domestic market to 95 percent. I can add that in terms of equipment for building materials companies and construction equipment, including excavators, graders and dump trucks, we are still heavily dependent on the import of components and machinery. I believe that, just as we started doing in the fuel and energy sector, we need to establish partnerships so construction enterprises can jointly invest in R&D and in the development of this equipment and guarantee large-scale production orders for domestic suppliers in the future. By the way, here we can use the sites of new industrial clusters with attractive regime and industrial mortgages. We also talked about this at the St Petersburg forum. In addition, for the construction industry,""long,"" affordable financial resources are important, both from the state and from the banking system. Construction, housing, is a large field of work. Unfortunately, we are still lagging behind many countries, including our neighbours, in terms of providing citizens with housing. To resolve the problem of housing, we really need hundreds of millions, in total, several billion square metres of new housing. Public demand for new housing, and above all for a better quality of life, is incredible. Moreover, the money invested here comes back at a good rate of return to the state budget and brings profits to banks and investors. We need now– and this is very important– to change, to break many of the established stereotypes that prevent us from moving forward, and as I said, do this while maintaining a responsible macroeconomic policy, to create conditions for investing more in real assets, in development. And housing construction is just such an asset. Colleagues, The problem with upgrading housing and utilities sector remains difficult. The total deterioration of various systems is estimated at over 40 percent. I think I also talked about this in St Petersburg. Hence the inefficiency and losses, which ultimately fall on companies and people. We have made many decisions here, looking for the best economic model, including for working with management companies. We gave them greater authority, then reduced it, then we created conditions for competition, then again we returned to establishing a single control centre. But reality shows– and I think the governors will agree with me– that we won't achieve any real change in improving housing and utility services while it's all based on old, worn-out infrastructure. We can rearrange the chairs, as they say, or make other decisions, but basically, if the pipes are rotten, nothing will fundamentally change. I believe that a large-scale upgrade of systems and other infrastructure is indeed the key to solving these problems in the housing and utilities sector and, most importantly, ensuring predictable, transparent and understandable utility rates for people. That is why, as you know, I proposed launching a comprehensive programme to upgrade housing and utilities. At its core, the goal is to consolidate and attract solid investment here; the volume must be increased many times over. At the same time, the country produces everything necessary to replace worn-out systems such as metal, machinery, domestic equipment and materials. So, we will load the construction and related industries, create jobs for years to come, and people will see real changes for the better. In a word, we need to get down to business and address these seemingly insurmountable issues step by step without retreating. The specific goal is to achieve an annual reduction in the share of worn-out systems. Such a plan may initially take, say, five years. Let's discuss all these issues today. And the Government has to think all this through and identify the sources of funding. We just talked with Mr Khusnullin, and I also talked with the Minister of Finance. Yes, financing is an essential element. It must be worked out with all agencies by the end of the year and we must begin to implement it next year. Let's get to work. I give the floor to Mr Marat Khusnullin. <…>"
http://en.kremlin.ru/events/president/news/68685,Meeting with graduates of higher military schools,2022-06-21T13:20:00Z,"The Kremlin, Moscow","In the Grand Kremlin Palace, the President met with top graduates of higher military schools of the Defence Ministry, the Emergencies Ministry, the Federal Security Service, the Federal Guard Service and the National Guard, as well as higher education institutions of the Interior Ministry and the Federal Penitentiary Service.","President of Russia Vladimir Putin: Comradeofficers, friends, I am glad to welcome and congratulate you on your successful graduation. Today we honour top graduates of military academies, universities, and specialised educational establishments here in the Kremlin's St George Hall, the symbol of military glory of the Fatherland. You are going to carry on the legendary traditions of valour and honour, solidarity and patriotism, which have always served as a reliable support for the Army and Navy. It was so throughout the centuries-old history of Russia: in the battles of Chudskoye Lake, Poltava and Borodino, during the First World War and the Great Patriotic War. Today's Russian officers and soldiers– the successors of the generation of victors, grandchildren and great-grandchildren of the Great Patriotic War heroes– are selflessly fighting for the Fatherland, for our people, fighting international terrorists in Syria, protecting Donbass from neo-Nazis, and defending peace and security for our people, and Russia's right to sovereign development. We are proud of our servicemen acting bravely and professionally, like true heroes, during the special military operation. Russian soldiers of different nationalities fight shoulder to shoulder. In this unity, belief in the justice of their cause, in that huge, truly popular support that our soldiers feel, is the great, invincible power of Russia. We will continue to develop and strengthen our Armed Forces, considering potential threats and risks, and improve their combat power based on the lessons from today's military conflicts. The priority areas include equipping troops with new weapon systems that will determine the combat effectiveness of the Army and Navy in the years and decades to come. In addition to the new weapons already tested on the battlefield, the troops have begun to receive S-500 air and missile defence systems that have no analogues in the world. The Sarmat heavy intercontinental ballistic missile was successfully tested. It is expected that the first such complex will be on combat duty at the end of the year. Plans call for using robotics, the most advanced means of control and reconnaissance, and drones much more widely, as well as actively developing weapon systems based on new physical principles. I am talking about laser, electromagnetic and other weapons. And, of course, intensive combat training of military units and groups will continue, as well as practising interaction with our allies. The effectiveness of our work to improve Russia's defensive capacity directly depends on the officer corps, that is, on you and your colleagues. You will soon take charge of military units. I am sure that you will help your subordinates, brothers in arms to master the advanced military equipment and will be an example of honour and team spirit. Comrade officers, You are young, energetic and daring people, highly motivated, and this is great. Still, I urge you to be careful, think things through and gradually learn about the current service environment. Do not forget that the effective use of theoretical knowledge you got when training is only possible after receiving some practical experience. Of course, working with personnel is a crucial task. I want to quote General Mikhail Dragomirov, a prominent military theorist:""The devotion to the Motherland and to the interests of a common cause is the main goal of military education."" Comrade officers, The development of Russia and the security of our citizens directly depend on the efficient work of the law-enforcement system and special services, the reliable work of rescuers. I want to warmly greet officers who will soon join the ranks of the Federal Security Service and the Interior Ministry, the National Guard, the Emergencies Ministry, the Federal Guard Service, the Investigative Committee and the Federal Penitentiary Service. Your main tasks include the protection of legal rights and freedoms of Russian citizens, an uncompromising fight against terrorist and extremist threats, against crime and corruption. I am sure that you will work in a systemic and consistent way and serve as an example of decency and professionalism for your colleagues. Friends, You have chosen the difficult military path as your career and have already achieved high and excellent results. On this day, I would like to pass on words of sincere gratitude to your mentors and everyone who shared their knowledge and experience, taught you to stay loyal to the laws of military brotherhood and camaraderie, and wholeheartedly strove for you to become real military professionals. You have the high honour of becoming Russian officers. Be worthy of this title: serve the Motherland and our people honestly and professionally. I wish you and all the graduates of 2022 good health and success. Good luck. <…> Vladimir Putin: Comrade officers, You have just completed your studies and understand very well that every thinking person in Russia constantly analyses everything that happens inside and outside our country. There has probably never been a time in the history of Russia when we simply felt that we could do nothing, as in a prosperous, but hardly visible country on the map. Russia has always gone through trials, just like any person who strives towards their goal; they always go through certain trials. It almost never happens that someone is simply taken by the hand and led to the desired result, and if someone was led by hand, then, as a rule, this person cannot effectively deal with what they got, what fell from the sky. In order to achieve a goal, you always need to go through certain difficulties, but, as you know, walk and you shall reach. Russia is now going through another set of trials, and we all know how closely the entire world and our country are watching the developments in the civilian sphere. Yes, there are restrictions. Yes, there are different ways to overcome them. And we can and will overcome them. The same is happening in the sphere of the state military establishment. Our army and navy are improving in all the most important segments in accordance with today's requirements, and this improvement will benefit the army, navy and the entire state military establishment. There can be no doubt that we will become even stronger. And the effectiveness of this process largely depends on you. I wish you all good luck once again. All the best."
